Kode Astra,Nama Barang,Harga Beli,Harga Jual
06353MR5306,"KIT, START MAG. SWITCH",0.00,0.00
06353MT4306,"KIT, START MAG. SWITCH",0.00,0.00
06370MGZ305,"PACKING, BASE",0.00,0.00
06370MKH306,KIT SPEED SENSOR,0.00,0.00
06381GF6300,ROD KIT CONNECTING,189975.00,223500.00
06381KEV880,ROD KIT CONNECTING,189975.00,223500.00
06381KFM901,ROD KIT CONNECTING,149600.00,176000.00
06381KPH900,ROD KIT CONECTING,198475.00,233500.00
06381KVB930,ROD KIT CONECTING,155550.00,244000.00
06381KVY960,ROD KIT CONECTING,151300.00,178000.00
06381KWB920,ROD KIT CONNECTING,147050.00,173000.00
06381KWC900,ROD KIT CONNECTING,172975.00,203500.00
06381KWW920,ROD KIT CONNECTING,147050.00,173000.00
06381KWWA80,ROD KIT CONNECTING,129625.00,152500.00
06381KZLA00,ROD KIT CONECTING,155550.00,183000.00
06381KZR600,ROD KIT CONECTING,133875.00,178000.00
06401K15900,DRIVE CHAIN KIT,291550.00,343000.00
06401K18900,DRIVE CHAIN KIT,255000.00,300000.00
06401K41N01,DRIVE CHAIN KIT,179775.00,216500.00
06401K45N01,DRIVE CHAIN KIT,303450.00,357000.00
06401K45N41,DRIVE CHAIN KIT,300900.00,354000.00
06401K45NA0,DRIVE CHAIN KIT,323000.00,380000.00
06401K56N00,DRIVE CHAIN KIT,267750.00,315000.00
06401K56N11,DRIVE CHAIN KIT,293250.00,345000.00
06401K84900,DRIVE CHAIN KIT,362100.00,426000.00
06401KCJ690,DRIVE CHAIN KIT,707625.00,832500.00
06401KCJ691,DRIVE CHAIN KIT,368900.00,434000.00
06401KEH900,DRIVE CHAIN KIT,275825.00,324500.00
06401KEV881,DRIVE CHAIN KIT,189550.00,223000.00
06401KPH881,DRIVE CHAIN KIT,164475.00,193500.00
06401KTL700,DRIVE CHAIN KIT,189550.00,223000.00
06401KWB900,DRIVE CHAIN KIT,175100.00,206000.00
06401KWC900,DRIVE CHAIN KIT,280925.00,330500.00
06401KWW900,DRIVE CHAIN KIT,167025.00,196500.00
06401KYE900,DRIVE CHAIN KIT,269450.00,317000.00
