Kode Jasa,Nama Jasa,Kode Group,Kode Sub Group,Estimasi Waktu,Tipe Waktu,Harga Jual
162,"Cable Tachometer , Ganti",LR,,15,MENIT,12000.00
163,"Cable Choke , Ganti",LR,,15,MENIT,10000.00
164,stel rim depan,LR,,30,MENIT,20000.00
165,stel rim belakang,LR,,30,MENIT,20000.00
166,Ganti tire RR,LR,,10,MENIT,20000.00
167,Ganti tire RR Matic,LR,,20,MENIT,20000.00
168,Ganti Tire FR,LR,,10,MENIT,20000.00
169,"Bos Gear , Ganti",LR,,30,MENIT,25000.00
170,"Brake Fluid , Ganti",LR,,25,MENIT,25000.00
171,"Cluht Matic ,Ganti",LR,,1,JAM,55000.00
172,"Cussion Assy , Ganti",LR,,45,MENIT,30000.00
173,"Damper Set , Ganti",LR,,10,MENIT,15000.00
174,"Drive Chain , Ganti",LR,,25,MENIT,12000.00
175,"Drive Chain Kit , Ganti",LR,,25,MENIT,40000.00
176,"Face/Boss Comp Moveable , Ganti",LR,,15,MENIT,35000.00
177,"Box/Gear Speedometer , Ganti",LR,,10,MENIT,10000.00
178,"Hanfat , Ganti",LR,,10,MENIT,12000.00
179,"Hub Whell , Ganti",LR,,90,MENIT,8000.00
180,GANTI KAMPAS REM BELAKANG MATIC,LR,,20,MENIT,20000.00
181,"Brake Shoe Matic , Ganti",LR,,30,MENIT,17000.00
182,"BEARING 6902 KOPLING,GANTI",LR,,40,MENIT,45000.00
183,"Bearing Roda Belakang , Ganti",LR,,30,MENIT,17000.00
184,"Bearing Roda Depan , Ganti",LR,,20,MENIT,15000.00
185,GANTI MASTER REM KIRI,LR,,1,JAM,35000.00
186,"Muffler , Ganti",LR,,15,MENIT,20000.00
187,Pad Set FR Ganti,LR,,30,MENIT,20000.00
188,GANTI/GEMUK Race Steering PCX/ADV/V160,LR,,1,JAM,135000.00
189,"Hub Whell , Ganti",LR,,1,JAM,25000.00
190,"Rim / Cast Whell , Ganti",LR,,1,JAM,12000.00
191,"Seal Shock Depan , Ganti",LR,,45,MENIT,30000.00
192,"Sproket Driven , Ganti",LR,,15,MENIT,20000.00
193,"Stang Kemudi , Ganti",LR,,20,MENIT,40000.00
194,"Swing Arm , Ganti",LR,,1,JAM,25000.00
195,"Belt Drive , Ganti",LR,,45,MENIT,35000.00
196,PAKET SUPER MATIC/PEMBERSIHAN CVT,LR,,20,MENIT,35000.00
197,Senter T,LR,,1,HARI,150000.00
198,Stel Kones,LR,,20,MENIT,25000.00
199,"Spring Fork Depan , Ganti",LR,,25,MENIT,30000.00
200,"Adjuster Chain , Ganti",LR,,5,MENIT,3000.00
201,"Disk Brake , Ganti",LR,,10,MENIT,25000.00
202,"Pedal Brake , Ganti",LR,,15,MENIT,10000.00
203,"Pedal Tranmisi , Ganti",LR,,5,MENIT,3000.00
204,Ganti Sping Brake,LR,,20,MENIT,10000.00
205,Ganti Stand Main,LR,,30,MENIT,10000.00
206,Ganti BarSide Stand,LR,,15,MENIT,15000.00
207,Ganti Bar comp Step,LR,,15,MENIT,5000.00
208,Ganti Ban Dalam DEPAN,LR,,10,MENIT,20000.00
209,Ganti Pad Set RR,LR,,20,MENIT,20000.00
210,GANTI KAMPAS REM DEPAN MATIC,LR,,20,MENIT,25000.00
211,GANTI CUSSION RR MATIC,LR,,20,MENIT,15000.00
212,Ganti Cover Fr,LR,,10,MENIT,15000.00
213,ganti cover rr,LR,,10,MENIT,10000.00
214,Ganti Cover Fr Matic,LR,,25,MENIT,30000.00
215,Ganti fender Depan,LR,,15,MENIT,15000.00
216,Ganti fender belakang,LR,,15,MENIT,35000.00
217,Ganti cover lower matic,LR,,15,MENIT,25000.00
218,ganti cover inner matic,LR,,15,MENIT,30000.00
219,ganti cover body,LR,,20,MENIT,30000.00
220,"Step Set Floor , Ganti",LR,,15,MENIT,35000.00
221,Ganti Box Vario,LR,,15,MENIT,10000.00
22133,THERMOSTAT ASSY,LR,,60,HARI,185000.00
222,Ganti Kulit Sadel,LR,,30,MENIT,15000.00
223,GANTI CABLE GAS MATIC,LR,,30,MENIT,25000.00
224,GANTI SEAL MAGNET CUB,LR,,15,MENIT,20000.00
225,PINION ASSY STATER,LR,,45,MENIT,50000.00
226,PASANG BLOK MATIC,LR,,30,MENIT,30000.00
227,GANTI BOTEM,LR,,1,JAM,50000.00
228,PASANG TUTUP SEPITI VARIO,LR,,30,MENIT,30000.00
229,GANTI KLEP,LR,,127,MENIT,150000.00
230,SOK BAUT,LR,,1,JAM,50000.00
231,CEK INJECTION/RESET,LR,,10,MENIT,15000.00
232,JASA,LR,,1,HARI,100000.00
233,LAS TANGKI MINYAK,LR,,30,MENIT,40000.00
234,LAS,LR,,15,MENIT,30000.00
23456,GANTI AS SHOCK CB 150,LR,,30,MENIT,100000.00
235,BERSIHKAN KALIPER REM CAKRAM,LR,,30,MENIT,20000.00
236,BATOK BELAKANG,LR,,15,MENIT,10000.00
237,JASA,LR,,30,MENIT,50000.00
238,LAS VELEG,LR,,100,MENIT,110000.00
239,LAMPU SPEEDO,LR,,10,MENIT,5000.00
240,SEAL MAGNET CUB,LR,,25,MENIT,15000.00
241,GANTI SPRING CLUTCH,LR,,30,MENIT,55000.00
242,COVER ASSY MATIC,LR,,15,MENIT,25000.00
243,GANTI KAMPAS REM TROMOL,LR,,20,MENIT,20000.00
244,GANTI KAMPAS REM CAKRAM,LR,,20,MENIT,25000.00
245,PEMBERSIHAN SETELAN KAMRAT,LR,,10,MENIT,25000.00
246,SEAL DRIVEN FACE,LR,,30,MENIT,55000.00
247,SOCKET LAMPU DEPAN,LR,,15,MENIT,15000.00
248,SENAI,LR,,1,JAM,30000.00
249,SWITCH STATER,LR,,10,MENIT,15000.00
250,BOX,LR,,15,MENIT,10000.00
251,PEMBERSIHAN KARBURATOR,LR,,15,MENIT,35000.00
