Kode Astra,Nama Barang,Kode Group,Kode Sub Group,Kode Satuan,Kode Rak,Harga Jual,Discount
061A1KVY003,GASKET KIT A,HGP,,PCS,,139000.00,15
061A1KWB003,GASKET KIT A,HGP,,PCS,,222500.00,15
061A1KWC004,GASKET KIT A,HGP,,PCS,,61000.00,15
061B1439000,"GASKET,KIT B",HGP,,PCS,,29500.00,15
061B1GN8002,GASKET KIT B,HGP,,PCS,,67000.00,15
061B1KB9002,GASKET KIT B,HGP,,PCS,,51000.00,15
061B1KEH002,GASKET KIT B,HGP,,PCS,,66000.00,15
061B1KEH003,GASKET KIT B,HGP,,PCS,,60000.00,15
061B1KEV002,GASKET KIT B,HGP,,PCS,,71500.00,15
061B1KEV003,GASKET KIT B,HGP,,PCS,,59500.00,15
061B1KFL002,GASKET KIT B,HGP,,PCS,,73500.00,15
061B1KFL003,GASKET KIT B,HGP,,PCS,,59000.00,15
061B1KPH002,GASKET KIT B,HGP,,PCS,,62000.00,15
061B1KPH003,GASKET KIT B,HGP,,PCS,,50000.00,15
061B1KVB003,GASKET KIT B,HGP,,PCS,,75500.00,15
061B1KVY003,GASKET KIT B,HGP,,PCS,,55000.00,15
061B1KWB003,GASKET KIT B,HGP,,PCS,,36500.00,15
061B1KWC003,GASKET KIT B,HGP,,PCS,,53000.00,15
061C1K1Z000,GASKET KIT,HGP,,PCS,,0.00,15
06221KEH305,PRMARY DRV GEAR KIT,HGP,,PCS,,373000.00,15
06230K87315,ENG SET A,HGP,,PCS,,419500.00,15
06230KZZ315,"SET, MAIN SHAFT ASSY",HGP,,PCS,,862000.00,15
06351MKCA01,LOCK ASSY STEERIN(SERVICE),HGP,,PCS,,3701500.00,15
06353MR5306,"KIT, START MAG. SWITCH",HGP,,PCS,,0.00,15
06353MT4306,"KIT, START MAG. SWITCH",HGP,,PCS,,0.00,15
06370MGZ305,"PACKING, BASE",HGP,,PCS,,0.00,15
06370MKH306,KIT SPEED SENSOR,HGP,,PCS,,0.00,15
06381GF6300,ROD KIT CONNECTING,HGP,,PCS,,223500.00,15
06381KEV880,ROD KIT CONNECTING,HGP,,PCS,,223500.00,15
06381KFM901,ROD KIT CONNECTING,HGP,,PCS,,176000.00,15
06381KPH900,ROD KIT CONECTING,HGP,,PCS,,233500.00,15
06381KVB930,ROD KIT CONECTING,HGP,,PCS,,244000.00,15
06381KVY960,ROD KIT CONECTING,HGP,,PCS,,178000.00,15
06381KWB920,ROD KIT CONNECTING,HGP,,PCS,,173000.00,15
06381KWC900,ROD KIT CONNECTING,HGP,,PCS,,203500.00,15
06381KWW920,ROD KIT CONNECTING,HGP,,PCS,,173000.00,15
06381KWWA80,ROD KIT CONNECTING,HGP,,PCS,,152500.00,15
06381KZLA00,ROD KIT CONECTING,HGP,,PCS,,183000.00,15
06381KZR600,ROD KIT CONECTING,HGP,,PCS,,230000.00,15
06401K15900,DRIVE CHAIN KIT,HGP,,PCS,,343000.00,15
06401K18900,DRIVE CHAIN KIT,HGP,,PCS,,300000.00,15
06401K41N01,DRIVE CHAIN KIT,HGP,,PCS,,210000.00,15
06401K45N01,DRIVE CHAIN KIT,HGP,,PCS,,357000.00,15
06401K45N41,DRIVE CHAIN KIT,HGP,,PCS,,354000.00,15
06401K45NA0,DRIVE CHAIN KIT,HGP,,PCS,,380000.00,15
06401K56N00,DRIVE CHAIN KIT,HGP,,PCS,,315000.00,15
06401K56N11,DRIVE CHAIN KIT,HGP,,PCS,,345000.00,15
06401K84900,DRIVE CHAIN KIT,HGP,,PCS,,426000.00,15
06401KCJ690,DRIVE CHAIN KIT,HGP,,PCS,,832500.00,15
06401KCJ691,DRIVE CHAIN KIT,HGP,,PCS,,434000.00,15
06401KEH900,DRIVE CHAIN KIT,HGP,,PCS,,324500.00,15
06401KEV881,DRIVE CHAIN KIT,HGP,,PCS,,223000.00,15
06401KPH881,DRIVE CHAIN KIT,HGP,,PCS,,193500.00,15
06401KTL700,DRIVE CHAIN KIT,HGP,,PCS,,223000.00,15
06401KWB900,DRIVE CHAIN KIT,HGP,,PCS,,206000.00,15
06401KWC900,DRIVE CHAIN KIT,HGP,,PCS,,330500.00,15
06401KWW900,DRIVE CHAIN KIT,HGP,,PCS,,196500.00,15
06401KYE900,DRIVE CHAIN KIT,HGP,,PCS,,317000.00,15
06401KYZ900,DRIVE CHAIN KIT,HGP,,PCS,,212000.00,15
06406K0FD10,"CHAIN KIT, DRV(420-15&34T)",HGP,,PCS,,533000.00,15
06406MFL601,"CHAIN KIT, DRIVE(50-16/42T) STD LBL",HGP,,PCS,,4828500.00,15
06406MGZD00,06406MGZD01,HGP,,PCS,,2256000.00,15
06406MGZD01,"CHAIN KIT, DRIVE(520-15&41T)",HGP,,PCS,,2696500.00,15
06406MJED00,"CHAIN KIT, DRIVE(525-15&42T) (STANDARD L",HGP,,PCS,,3523000.00,15
