Kode Tipe,Tipe Kendaraan,CC Mesin,Engine Code,Model,Kode Barang,Harga Jual Oli KPB 1,Harga Jasa KPB 1,Harga Jasa KPB 2,Harga Jasa KPB 3,Harga Jasa KPB 4
E1F02N11M2 A/T,NEW VARIO 125 CBS,125,,MATIC,,0,0,0,0,0
E1F02N11S1 A/T,VARIO 125 CBS MMC,125,,MATIC,,0,0,0,0,0
E1F02N11S2 A/T,New Vario 125 CBS,125,,MATIC,,0,0,0,0,0
E1F02N12M2 A/T,NEW VARIO 125 CBS ISS,125,,MATIC,,0,0,0,0,0
E1F02N12S1 A/T,VARIO 125 CBS ISS MMC,125,,MATIC,,0,0,0,0,0
E1F02N12S2 A/T,New Vario 125 CBS ISS,125,,MATIC,,0,0,0,0,0
F1C02N28L0A A/T,All New Scoopy Stylish,110,,MATIC,,0,0,0,0,0
F1C02N28L0B A/T,All New Scoopy Sporty,110,,MATIC,,0,0,0,0,0
F1C02N28L0C A/T,All New Scoopy Playfull,110,,MATIC,,0,0,0,0,0
G2E02R21L0 M/T,THE ALL NEW SUPRA GTR 150 SPORTY,150,,SPORT,,0,0,0,0,0
G2E02R21L0A M/T,THE ALL NEW SUPRA GTR 150 EXCLUSIVE,150,,SPORT,,0,0,0,0,0
G2E02R21S1 M/T,New Supra GTR 150 Sporty,150,,CUB,,0,0,0,0,0
G2E02R21S2 M/T,New Supra GTR 150 Exclusive,150,,CUB,,0,0,0,0,0
GL 200 RA2 M/T,TIGER SINGLE HL MMC,200,,SPORT,,0,0,0,0,0
GL15A1D,NEW MEGAPRO SPOKE,150,,SPORT,,0,0,0,0,0
GL15A1RR,NEW MEGAPRO CW,150,,SPORT,,0,0,0,0,0
GL15B1CF M/T,VERZA CW,150,,SPORT,,0,0,0,0,0
GL15B1CF1 M/T,VERZA CW MMC,150,,SPORT,,0,0,0,0,0
GL15B1CF2 M/T,Verza CW MMC,150,,CUB,,0,0,0,0,0
GL15B1DF M/T,VERZA SPOKE,150,,SPORT,,0,0,0,0,0
GL15B1DF1 M/T,VERZA SPOKE MMC,150,,SPORT,,0,0,0,0,0
GL15B1DF2 M/T,Verza Spoke MMC,150,,CUB,,0,0,0,0,0
GL15C21A07 M/T,MegaPro CW FI,150,,SPORT,,0,0,0,0,0
GL200R,TIGER,200,,SPORT,,0,0,0,0,0
GL200RA1,NEW TIGER,200,,SPORT,,0,0,0,0,0
H5C02R20M1 M/T,ALL NEW CB150R STREETFIRE,150,,SPORT,,0,0,0,0,0
H5C02R20M1A M/T,ALL NEW CB150R SPC.EDITION,150,,SPORT,,0,0,0,0,0
H5C02R20M1B M/T,ALL NEW CB150R SPC.EDITION,150,,SPORT,,0,0,0,0,0
H5C02R20S1 M/T,New CB150R Streetfire,150,,SPORT,,0,0,0,0,0
H5C02R20S1A M/T,New CB150R Streetfire,150,,SPORT,,0,0,0,0,0
H5C02R20S1B M/T,New CB150R Streetfire,150,,SPORT,,0,0,0,0,0
H5C02R20S2 M/T,CB150R Streetfire,150,,SPORT,,0,0,0,0,0
H5C02R20S2A M/T,CB150R Streetfire Spc.Edition,150,,SPORT,,0,0,0,0,0
H5C02R20S2B M/T,CB150R Streetfire Spc.Edition,150,,SPORT,,0,0,0,0,0
K1H02N14L0 A/T,VARIO 150 SPORTY,150,,MATIC,,0,0,0,0,0
K1H02N14L0M A/T,VARIO 150 EXCLUSIVE,150,,MATIC,,0,0,0,0,0
K1H02N14S1 A/T,VARIO 150 MMC,150,,MATIC,,0,0,0,0,0
K1H02N14S2 A/T,New Vario 150,150,,MATIC,,0,0,0,0,0
NC110A1C A/T,NEW VARIO CW,110,,MATIC,,0,0,0,0,0
NC110CW,VARIO,110,,MATIC,,0,0,0,0,0
NC11A2CB,VARIO TECHNO CBS,110,,MATIC,,0,0,0,0,0
NC11A3C A/T,VARIO TECHNO NON CBS,110,,MATIC,,0,0,0,0,0
NC11A3CBA/T,NEW VARIO TECHNO,110,,MATIC,,0,0,0,0,0
NC11B3D,BEAT SPOKE,110,,MATIC,,0,0,0,0,0
NC11BF1C A/T,BEAT PGM-FI CW,110,,MATIC,,0,0,0,0,0
NC11BF1CB A/T,BEAT INJEKSI,110,,MATIC,,0,0,0,0,0
NC11BF1D A/T,BEAT PGM-FI SPOKE,110,,MATIC,,0,0,0,0,0
NC11C1C,SCOOPY,110,,MATIC,,0,0,0,0,0
NC11CF1C,SCOOPY PGMFI,110,,MATIC,,0,0,0,0,0
NC11D1C A/T,SPACY HELM-IN CW,110,,MATIC,,0,0,0,0,0
NC11D1CF A/T,SPACY HELM-IN INJECTION,110,,MATIC,,0,0,0,0,0
